sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-04-04,Saturday,,Residential,15,17,18,19,1,2
East Midlands,2020-04-05,Sunday,,Retail and Recreation,-93,-83,-82,-75,3,20
East Midlands,2020-04-05,Sunday,,Grocery and Pharmacy,-51,-40,-41,-26,6,33
East Midlands,2020-04-05,Sunday,,Parks,-84,-30,-27,6,19,359
East Midlands,2020-04-05,Sunday,,Transit Stations,-79,-56,-57,-24,18,212
East Midlands,2020-04-05,Sunday,,Workplaces,-61,-50,-50,-37,4,25
East Midlands,2020-04-05,Sunday,,Residential,14,14,14,15,1,0
East Midlands,2020-04-06,Monday,,Retail and Recreation,-85,-72,-72,-62,4,27
East Midlands,2020-04-06,Monday,,Grocery and Pharmacy,-38,-29,-29,-19,4,19
East Midlands,2020-04-06,Monday,,Parks,-74,-14,-14,83,13,663
East Midlands,2020-04-06,Monday,,Transit Stations,-78,-58,-58,-27,9,104
East Midlands,2020-04-06,Monday,,Workplaces,-76,-65,-66,-47,4,30
East Midlands,2020-04-06,Monday,,Residential,18,25,25,29,3,6
East Midlands,2020-04-07,Tuesday,,Retail and Recreation,-84,-72,-71,-61,4,26
East Midlands,2020-04-07,Tuesday,,Grocery and Pharmacy,-34,-26,-26,-13,4,22
East Midlands,2020-04-07,Tuesday,,Parks,-63,0,-5,137,17,1196
East Midlands,2020-04-07,Tuesday,,Transit Stations,-77,-53,-53,-23,10,142
East Midlands,2020-04-07,Tuesday,,Workplaces,-77,-66,-67,-47,4,29
East Midlands,2020-04-07,Tuesday,,Residential,17,25,25,30,3,8
East Midlands,2020-04-08,Wednesday,,Retail and Recreation,-83,-72,-71,-61,4,27
East Midlands,2020-04-08,Wednesday,,Grocery and Pharmacy,-33,-24,-24,-14,4,26
East Midlands,2020-04-08,Wednesday,,Parks,-71,-4,-8,102,22,848
East Midlands,2020-04-08,Wednesday,,Transit Stations,-77,-54,-54,-22,10,156
East Midlands,2020-04-08,Wednesday,,Workplaces,-75,-65,-66,-49,4,24
East Midlands,2020-04-08,Wednesday,,Residential,18,25,25,30,3,8
East Midlands,2020-04-09,Thursday,,Retail and Recreation,-80,-69,-68,-59,4,30
East Midlands,2020-04-09,Thursday,,Grocery and Pharmacy,-26,-16,-17,-3,4,36
East Midlands,2020-04-09,Thursday,,Parks,-68,-8,-4,87,12,648
East Midlands,2020-04-09,Thursday,,Transit Stations,-77,-53,-53,-21,13,164
East Midlands,2020-04-09,Thursday,,Workplaces,-76,-66,-67,-50,4,23
East Midlands,2020-04-09,Thursday,,Residential,17,25,25,30,3,8
